epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1344.41,0.41778,0.49166,0.86296,0.99164,1,0.995,0.955,0.3262,0.38044,0.80781,0.0007756,0.0007756,0.0007756
70,1370.5,0.41868,0.48514,0.84799,0.98989,1,0.995,0.9309,0.40163,0.39693,0.81757,0.0007723,0.0007723,0.0007723
71,1389.98,0.43908,0.48839,0.84722,0.98989,1,0.995,0.9309,0.40163,0.39693,0.81757,0.000769,0.000769,0.000769
72,1408.5,0.39324,0.47255,0.84106,0.98941,1,0.995,0.94165,0.39135,0.39588,0.8147,0.0007657,0.0007657,0.0007657
73,1426.63,0.42026,0.48952,0.83898,0.9924,1,0.995,0.96742,0.32572,0.37492,0.80528,0.0007624,0.0007624,0.0007624
74,1443.58,0.40133,0.47102,0.85253,0.99158,1,0.995,0.9568,0.31568,0.37384,0.80659,0.0007591,0.0007591,0.0007591
75,1460.86,0.42733,0.50364,0.867,0.99158,1,0.995,0.9568,0.31568,0.37384,0.80659,0.0007558,0.0007558,0.0007558
76,1478.56,0.39242,0.45467,0.83546,0.98986,1,0.995,0.94001,0.34634,0.38935,0.80946,0.0007525,0.0007525,0.0007525
77,1507.21,0.375,0.43411,0.83158,0.98998,1,0.995,0.9485,0.34678,0.37974,0.80792,0.0007492,0.0007492,0.0007492
78,1533.44,0.39494,0.45254,0.85501,0.99258,1,0.995,0.95291,0.34234,0.3747,0.80659,0.0007459,0.0007459,0.0007459
79,1560.18,0.4152,0.46526,0.86163,0.99258,1,0.995,0.95291,0.34234,0.3747,0.80659,0.0007426,0.0007426,0.0007426
80,1585.23,0.38436,0.45429,0.83738,0.99139,1,0.995,0.94877,0.31734,0.36412,0.80404,0.0007393,0.0007393,0.0007393
81,1611.5,0.39816,0.4583,0.85481,0.99128,1,0.995,0.94928,0.3162,0.36518,0.80439,0.000736,0.000736,0.000736
82,1634.94,0.43391,0.46859,0.8606,0.99091,1,0.995,0.94079,0.34841,0.36887,0.80992,0.0007327,0.0007327,0.0007327
83,1650.19,0.37748,0.43166,0.8486,0.99091,1,0.995,0.94079,0.34841,0.36887,0.80992,0.0007294,0.0007294,0.0007294
84,1665.23,0.41225,0.48565,0.86731,0.98961,1,0.995,0.93095,0.38105,0.37032,0.81604,0.0007261,0.0007261,0.0007261
85,1680.2,0.38107,0.42699,0.82718,0.98999,1,0.995,0.93626,0.34907,0.36143,0.81115,0.0007228,0.0007228,0.0007228
86,1695.25,0.38139,0.42366,0.82349,0.9906,1,0.995,0.97178,0.31126,0.35222,0.80488,0.0007195,0.0007195,0.0007195
87,1710.06,0.37515,0.42357,0.84416,0.9906,1,0.995,0.97178,0.31126,0.35222,0.80488,0.0007162,0.0007162,0.0007162
88,1724.98,0.37078,0.42165,0.83879,0.99091,1,0.995,0.97102,0.28412,0.34378,0.80196,0.0007129,0.0007129,0.0007129
89,1740.01,0.40751,0.46093,0.86528,0.99105,1,0.995,0.96909,0.29809,0.3435,0.80384,0.0007096,0.0007096,0.0007096
90,1754.82,0.39156,0.47858,0.83483,0.99077,1,0.995,0.93247,0.37272,0.36284,0.81549,0.0007063,0.0007063,0.0007063
91,1769.47,0.39507,0.46491,0.83126,0.99077,1,0.995,0.93247,0.37272,0.36284,0.81549,0.000703,0.000703,0.000703
92,1784.72,0.40767,0.45255,0.8407,0.99098,1,0.995,0.92358,0.4163,0.37691,0.82141,0.0006997,0.0006997,0.0006997
93,1799.99,0.38765,0.43378,0.85335,0.98709,1,0.995,0.94296,0.36454,0.38322,0.81059,0.0006964,0.0006964,0.0006964
94,1814.84,0.37233,0.42787,0.82159,0.98579,1,0.995,0.97846,0.27096,0.36512,0.79639,0.0006931,0.0006931,0.0006931
95,1829.49,0.40572,0.45248,0.8473,0.98579,1,0.995,0.97846,0.27096,0.36512,0.79639,0.0006898,0.0006898,0.0006898
96,1844.37,0.35715,0.41974,0.84163,0.988,1,0.995,0.98393,0.24495,0.34901,0.79355,0.0006865,0.0006865,0.0006865
97,1859.44,0.39373,0.45109,0.84113,0.98898,1,0.995,0.97762,0.26088,0.33548,0.79595,0.0006832,0.0006832,0.0006832
98,1874.36,0.38581,0.44799,0.85111,0.99039,1,0.995,0.96211,0.32116,0.33289,0.80437,0.0006799,0.0006799,0.0006799
99,1889.23,0.40442,0.4437,0.86071,0.99039,1,0.995,0.96211,0.32116,0.33289,0.80437,0.0006766,0.0006766,0.0006766
100,1903.99,0.3806,0.41108,0.8434,0.99249,1,0.995,0.92847,0.38074,0.33942,0.81441,0.0006733,0.0006733,0.0006733
101,1918.79,0.42378,0.43907,0.86282,0.99231,1,0.995,0.92501,0.38112,0.34805,0.81487,0.00067,0.00067,0.00067
102,1933.66,0.411,0.4212,0.84068,0.99193,1,0.995,0.92881,0.34825,0.34921,0.80941,0.0006667,0.0006667,0.0006667
103,1948.28,0.41333,0.45684,0.8761,0.99193,1,0.995,0.92881,0.34825,0.34921,0.80941,0.0006634,0.0006634,0.0006634
104,1963.08,0.41392,0.42176,0.85353,0.99179,1,0.995,0.94903,0.30887,0.34035,0.80459,0.0006601,0.0006601,0.0006601
105,1977.87,0.43195,0.44651,0.86516,0.99176,1,0.995,0.95926,0.30477,0.33828,0.80493,0.0006568,0.0006568,0.0006568
106,1992.95,0.40928,0.44574,0.85173,0.99286,1,0.995,0.9408,0.32476,0.34007,0.8082,0.0006535,0.0006535,0.0006535
107,2007.76,0.37895,0.44451,0.84235,0.99286,1,0.995,0.9408,0.32476,0.34007,0.8082,0.0006502,0.0006502,0.0006502
108,2022.5,0.39664,0.44006,0.83949,0.99056,1,0.995,0.92809,0.37059,0.35021,0.81547,0.0006469,0.0006469,0.0006469
109,2037.28,0.37631,0.40653,0.84809,0.98792,1,0.995,0.93241,0.36942,0.34876,0.81565,0.0006436,0.0006436,0.0006436
110,2052.02,0.35648,0.42336,0.83059,0.9865,1,0.995,0.95535,0.32835,0.34037,0.80879,0.0006403,0.0006403,0.0006403
111,2066.96,0.39339,0.42039,0.84432,0.9865,1,0.995,0.95535,0.32835,0.34037,0.80879,0.000637,0.000637,0.000637
112,2082.34,0.40007,0.46848,0.85194,0.9898,1,0.995,0.97765,0.28245,0.33157,0.80087,0.0006337,0.0006337,0.0006337
113,2097.47,0.47461,0.51506,0.89143,0.98726,1,0.995,0.97611,0.2884,0.32436,0.80242,0.0006304,0.0006304,0.0006304
114,2112.42,0.3565,0.42549,0.84768,0.98679,1,0.995,0.96135,0.31847,0.32565,0.80888,0.0006271,0.0006271,0.0006271
115,2127.72,0.384,0.42937,0.84972,0.98679,1,0.995,0.96135,0.31847,0.32565,0.80888,0.0006238,0.0006238,0.0006238
116,2142.64,0.36904,0.42646,0.86201,0.98563,1,0.995,0.9492,0.35498,0.33294,0.81453,0.0006205,0.0006205,0.0006205
117,2157.25,0.34687,0.39412,0.83075,0.98634,1,0.995,0.93349,0.36542,0.329,0.81393,0.0006172,0.0006172,0.0006172
118,2172.21,0.39355,0.44724,0.84685,0.98734,1,0.995,0.93331,0.35379,0.32179,0.80968,0.0006139,0.0006139,0.0006139
119,2187.26,0.36566,0.41436,0.84561,0.98734,1,0.995,0.93331,0.35379,0.32179,0.80968,0.0006106,0.0006106,0.0006106
120,2202.17,0.38749,0.41991,0.86327,0.98958,1,0.995,0.93452,0.34178,0.31115,0.80686,0.0006073,0.0006073,0.0006073
121,2216.88,0.35869,0.39598,0.83173,0.98947,0.99984,0.995,0.94936,0.31471,0.2991,0.80422,0.000604,0.000604,0.000604
122,2231.48,0.36614,0.41427,0.83647,0.98645,0.99778,0.995,0.95078,0.31179,0.29776,0.80536,0.0006007,0.0006007,0.0006007
123,2246.08,0.35138,0.41515,0.83577,0.98645,0.99778,0.995,0.95078,0.31179,0.29776,0.80536,0.0005974,0.0005974,0.0005974
124,2260.86,0.36539,0.3955,0.84023,0.97902,0.99623,0.995,0.94728,0.3461,0.30834,0.80979,0.0005941,0.0005941,0.0005941
125,2275.63,0.36795,0.40376,0.84833,0.98967,0.98062,0.995,0.95286,0.3469,0.31766,0.80979,0.0005908,0.0005908,0.0005908
126,2290.63,0.39158,0.43383,0.83543,0.98662,0.98321,0.995,0.96402,0.31321,0.3129,0.8058,0.0005875,0.0005875,0.0005875
127,2305.21,0.3569,0.41026,0.82695,0.98662,0.98321,0.995,0.96402,0.31321,0.3129,0.8058,0.0005842,0.0005842,0.0005842
128,2319.88,0.33706,0.38654,0.8284,0.98767,1,0.995,0.96703,0.30373,0.29505,0.80514,0.0005809,0.0005809,0.0005809
129,2334.62,0.36498,0.39739,0.83486,0.99275,1,0.995,0.9621,0.31961,0.2878,0.80815,0.0005776,0.0005776,0.0005776
130,2349.52,0.36244,0.39721,0.85401,0.99412,1,0.995,0.93133,0.36,0.2974,0.81412,0.0005743,0.0005743,0.0005743
131,2364.07,0.366,0.40518,0.8394,0.99412,1,0.995,0.93133,0.36,0.2974,0.81412,0.000571,0.000571,0.000571
132,2378.92,0.36681,0.42258,0.83966,0.99364,1,0.995,0.9289,0.36823,0.30157,0.8153,0.0005677,0.0005677,0.0005677
133,2394.13,0.38745,0.44865,0.85595,0.99269,1,0.995,0.94755,0.32553,0.29607,0.8084,0.0005644,0.0005644,0.0005644
134,2409.03,0.34635,0.38209,0.82753,0.99214,1,0.995,0.9644,0.28036,0.28412,0.80098,0.0005611,0.0005611,0.0005611
135,2423.57,0.37139,0.41004,0.83847,0.99214,1,0.995,0.9644,0.28036,0.28412,0.80098,0.0005578,0.0005578,0.0005578
136,2440.22,0.33738,0.38161,0.83872,0.99229,1,0.995,0.96159,0.28996,0.28557,0.80196,0.0005545,0.0005545,0.0005545
137,2467.56,0.39832,0.41568,0.8444,0.99361,1,0.995,0.95521,0.33,0.28669,0.80887,0.0005512,0.0005512,0.0005512
138,2493.42,0.34168,0.40795,0.83809,0.99459,1,0.995,0.94034,0.34625,0.28663,0.81029,0.0005479,0.0005479,0.0005479
139,2518.75,0.31494,0.37404,0.8123,0.99459,1,0.995,0.94034,0.34625,0.28663,0.81029,0.0005446,0.0005446,0.0005446
140,2544.99,0.35111,0.37563,0.83521,0.99338,1,0.995,0.95184,0.31724,0.27696,0.80427,0.0005413,0.0005413,0.0005413
141,2571.25,0.37413,0.44416,0.85448,0.99292,1,0.995,0.95788,0.30641,0.27471,0.80139,0.000538,0.000538,0.000538
142,2597.81,0.35051,0.38302,0.82014,0.99327,1,0.995,0.95068,0.31724,0.27386,0.80263,0.0005347,0.0005347,0.0005347
143,2616.96,0.3841,0.39018,0.85022,0.99327,1,0.995,0.95068,0.31724,0.27386,0.80263,0.0005314,0.0005314,0.0005314
144,2638.81,0.32331,0.36363,0.82303,0.99336,1,0.995,0.94855,0.33639,0.27707,0.80709,0.0005281,0.0005281,0.0005281
145,2664.44,0.34461,0.40103,0.83109,0.98697,0.9962,0.995,0.94376,0.34902,0.28188,0.81005,0.0005248,0.0005248,0.0005248
146,2689.95,0.35917,0.37147,0.85666,0.98403,0.99533,0.995,0.94947,0.33084,0.284,0.80698,0.0005215,0.0005215,0.0005215
147,2714.72,0.34466,0.36018,0.83806,0.98403,0.99533,0.995,0.94947,0.33084,0.284,0.80698,0.0005182,0.0005182,0.0005182
148,2740.16,0.36387,0.38199,0.83259,0.99324,0.98412,0.995,0.95813,0.30966,0.28108,0.80282,0.0005149,0.0005149,0.0005149
149,2764.77,0.34374,0.35244,0.8225,0.98484,0.99581,0.995,0.96442,0.28331,0.27731,0.79789,0.0005116,0.0005116,0.0005116
150,2783.85,0.33402,0.37057,0.82872,0.99014,0.99822,0.995,0.95838,0.3085,0.28678,0.80088,0.0005083,0.0005083,0.0005083
151,2801.79,0.3252,0.35422,0.81599,0.99014,0.99822,0.995,0.95838,0.3085,0.28678,0.80088,0.000505,0.000505,0.000505
152,2819.37,0.35647,0.37525,0.84558,0.98926,1,0.995,0.95934,0.31868,0.2888,0.80198,0.0005017,0.0005017,0.0005017
153,2837.23,0.34133,0.35376,0.83461,0.9889,0.99889,0.995,0.95248,0.32663,0.29075,0.80343,0.0004984,0.0004984,0.0004984
154,2852.9,0.33178,0.35865,0.83663,0.98922,0.98821,0.995,0.95356,0.31636,0.28578,0.80381,0.0004951,0.0004951,0.0004951
155,2867.94,0.36743,0.37615,0.85035,0.98922,0.98821,0.995,0.95356,0.31636,0.28578,0.80381,0.0004918,0.0004918,0.0004918
156,2884.74,0.35586,0.38907,0.83656,0.99141,0.98313,0.995,0.96881,0.29438,0.28274,0.80104,0.0004885,0.0004885,0.0004885
157,2904.65,0.3484,0.36379,0.86725,0.99314,0.98152,0.995,0.95679,0.30225,0.28827,0.80157,0.0004852,0.0004852,0.0004852
158,2931.37,0.36586,0.35488,0.83879,0.99424,0.98201,0.995,0.97167,0.29854,0.28467,0.80033,0.0004819,0.0004819,0.0004819
159,2956.43,0.34899,0.37847,0.84931,0.99424,0.98201,0.995,0.97167,0.29854,0.28467,0.80033,0.0004786,0.0004786,0.0004786
160,2981.74,0.3737,0.38764,0.85106,0.98397,0.99602,0.995,0.97618,0.28844,0.27487,0.79894,0.0004753,0.0004753,0.0004753
161,3007.41,0.3371,0.35154,0.83688,0.98885,0.99702,0.995,0.96868,0.29527,0.2747,0.80071,0.000472,0.000472,0.000472
162,3024.43,0.32544,0.36161,0.82521,0.98787,0.99649,0.995,0.97094,0.30225,0.27826,0.802,0.0004687,0.0004687,0.0004687
163,3039.94,0.34559,0.39031,0.84459,0.98787,0.99649,0.995,0.97094,0.30225,0.27826,0.802,0.0004654,0.0004654,0.0004654
164,3055.58,0.3257,0.37117,0.83796,0.99161,0.98583,0.995,0.97163,0.31335,0.27995,0.80312,0.0004621,0.0004621,0.0004621
165,3071.22,0.34135,0.38041,0.82714,0.98686,0.98285,0.995,0.95902,0.30847,0.28403,0.80094,0.0004588,0.0004588,0.0004588
166,3087.1,0.38605,0.39483,0.85968,0.98421,0.98165,0.995,0.95755,0.28369,0.2767,0.79706,0.0004555,0.0004555,0.0004555
167,3103.18,0.3533,0.39245,0.82851,0.98421,0.98165,0.995,0.95755,0.28369,0.2767,0.79706,0.0004522,0.0004522,0.0004522
168,3129.69,0.34477,0.40406,0.83525,0.99091,0.98298,0.995,0.97098,0.26492,0.25649,0.79499,0.0004489,0.0004489,0.0004489
169,3156.31,0.33661,0.33125,0.83273,0.98658,0.99659,0.995,0.96726,0.26206,0.24741,0.79446,0.0004456,0.0004456,0.0004456
170,3182.44,0.34685,0.34342,0.83381,0.99381,1,0.995,0.96236,0.27366,0.24545,0.79583,0.0004423,0.0004423,0.0004423
171,3208.77,0.34739,0.35786,0.82901,0.99381,1,0.995,0.96236,0.27366,0.24545,0.79583,0.000439,0.000439,0.000439
172,3234.95,0.32789,0.36065,0.84017,0.99397,1,0.995,0.95552,0.30715,0.252,0.80086,0.0004357,0.0004357,0.0004357
173,3263.24,0.32793,0.33162,0.82896,0.99412,1,0.995,0.93589,0.34595,0.26194,0.80782,0.0004324,0.0004324,0.0004324
174,3290.17,0.34344,0.34847,0.83023,0.99406,1,0.995,0.93659,0.34586,0.26005,0.80854,0.0004291,0.0004291,0.0004291
175,3316.29,0.3437,0.33877,0.82325,0.99406,1,0.995,0.93659,0.34586,0.26005,0.80854,0.0004258,0.0004258,0.0004258
176,3345.44,0.38213,0.37845,0.85402,0.99309,1,0.995,0.96706,0.30152,0.24628,0.80124,0.0004225,0.0004225,0.0004225
