t_ms,phase,sheet_idx,jvm_heap_used_mb,jvm_heap_max_mb,native_heap_used_mb,native_heap_size_mb,rss_mb,cpu_percent
34257,CV,156,102.97,512.00,163.70,173.69,429.06,465.04
34362,CV,157,103.66,512.00,170.49,180.71,439.01,296.52
34467,CV,157,106.55,512.00,185.89,196.15,457.42,419.24
34570,CV,158,96.00,512.00,138.02,147.80,387.09,330.18
34675,CV,158,98.72,512.00,114.52,125.18,376.72,379.16
34779,CV,159,99.47,512.00,138.03,148.61,390.12,386.31
34884,CV,159,102.16,512.00,151.47,161.89,417.04,438.87
34991,CV,160,103.08,512.00,186.63,197.02,455.21,336.52
35094,CV,160,105.72,512.00,186.01,196.29,457.00,443.30
35200,CV,161,96.62,512.00,103.59,114.28,343.62,332.60
35303,CV,161,99.24,512.00,114.58,125.18,378.41,454.23
35407,CV,162,99.99,512.00,121.98,132.23,373.83,347.22
35511,CV,162,100.31,512.00,138.31,148.86,401.81,211.90
35615,CV,162,102.99,512.00,163.65,173.70,425.50,403.26
35722,CV,163,103.71,512.00,186.68,197.02,456.21,269.97
35826,CV,163,106.36,512.00,186.05,196.24,455.57,405.92
35932,CV,164,96.64,512.00,87.59,97.89,324.30,311.36
36036,CV,164,97.01,512.00,110.72,121.27,370.10,374.85
36141,CV,164,99.62,512.00,138.29,148.79,402.52,321.92
36244,CV,165,100.37,512.00,145.21,155.61,411.37,426.79
36347,CV,165,103.02,512.00,172.60,182.89,441.50,351.45
36451,CV,166,103.98,512.00,179.77,189.95,448.93,385.60
36555,CV,166,96.56,512.00,185.32,195.35,451.92,362.66
36659,CV,167,96.78,512.00,107.96,118.59,361.89,280.90
36761,CV,167,99.43,512.00,129.32,139.34,387.93,495.98
36867,CV,168,100.16,512.00,138.40,148.86,401.79,340.43
36973,CV,168,103.04,512.00,160.87,171.18,430.07,415.98
37079,CV,169,103.76,512.00,179.73,189.95,442.72,292.60
37187,CV,169,106.44,512.00,195.40,205.77,468.14,359.61
37294,CV,170,96.67,512.00,102.30,113.11,357.98,263.17
37409,CV,170,99.32,512.00,129.20,139.59,393.64,443.69
37523,CV,171,100.31,512.00,142.52,153.18,403.74,263.39
37627,CV,171,102.97,512.00,163.80,173.94,432.34,410.98
37735,CV,172,103.69,512.00,173.80,184.27,441.00,296.91
37841,CV,172,106.37,512.00,195.47,205.77,468.35,435.25
37949,CV,173,96.69,512.00,117.84,128.60,368.55,267.46
38056,CV,173,99.64,512.00,117.10,127.71,378.92,356.88
38161,CV,174,100.38,512.00,136.11,146.63,401.63,368.40
38269,CV,174,103.00,512.00,151.64,162.11,420.56,437.26
38374,CV,175,103.73,512.00,172.76,183.20,440.87,305.82
38480,CV,175,106.35,512.00,186.04,196.63,458.68,433.26
38584,CV,176,96.67,512.00,87.82,98.50,328.50,296.61
38687,CV,176,96.77,512.00,118.60,129.58,378.90,397.50
38790,CV,177,100.08,512.00,100.83,111.59,365.56,340.72
38895,CV,177,100.19,512.00,153.14,163.91,419.37,446.16
39001,CV,178,103.47,512.00,156.82,167.16,409.49,361.40
39105,CV,178,103.78,512.00,179.91,190.45,445.13,316.43
39207,CV,178,96.00,512.00,188.46,198.96,450.50,430.98
39316,CV,179,96.78,512.00,103.26,114.19,360.59,285.48
39422,CV,179,99.43,512.00,129.33,139.85,391.68,405.72
39528,CV,180,100.46,512.00,132.19,142.86,378.73,385.84
39642,CV,180,100.66,512.00,151.75,162.34,407.84,421.18
39746,CV,181,101.38,512.00,159.14,169.63,420.70,374.75
39850,CV,182,102.24,512.00,175.34,185.27,418.80,376.17
39953,CV,182,102.53,512.00,201.65,212.06,466.57,424.58
40056,CV,183,97.04,512.00,126.29,136.63,358.46,358.78
40159,CV,183,97.20,512.00,112.12,127.11,370.39,378.92
40261,CV,184,98.05,512.00,120.44,131.05,361.71,371.70
40369,CV,184,98.15,512.00,151.28,162.19,418.39,370.81
40474,CV,185,101.39,512.00,133.50,144.20,404.89,334.81
40581,CV,185,101.79,512.00,178.03,188.72,449.60,381.41
40690,done,0,96.62,512.00,116.92,127.41,369.35,331.08
